id_baris,aksara,transliterasi,terjemahan,
63,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris063.png,satangi nira,seusai aku terjaga,
64,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris064.png,tansah sumêlang ngaksi,selalu dilanda rasa was-was,
65,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris065.png,Mula ningsun ,Itulah sebabnya diriku,
66,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris066.png,"sak agêng bêrangta gung remang ","dilanda kasmaran teramat sangat ",
67,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris067.png,"kangên sang kepi nguni  ","merindukan sosok dalam impian ",
68,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris068.png,yayebu ngartika  ,ayah bundanya pun berkata,
69,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris069.png,anak ingsun pangeran,anakku sang dewi ,
70,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris070.png,sampun sira bunêk ati ,usah kau resah hati ,
71,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris071.png,yèn sih anaha,semoga jika memang benar-benar ada,
72,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris072.png,mêne sang kepi uni,sosok dalam mimpimu itu,9
73,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris073.png,Sun timbali,Akan kupanggil ia,
74,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris074.png,dadi kêrama nira nyawa,kunikahkan jadi belahan jiwamu,
75,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris075.png,ibu tan wêrin gon gusti,ibu tiada tahu dimana ia berada,
76,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris076.png,mênawa anak ing wang,jika saja kau putriku,
77,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris077.png,wêruh parnahe pangeran,tahu dimana ia berada,
78,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris078.png,enage sun atêr nini,segera akan kuantar kau anakku,
